610.46,861.74
1009,840.47
433.23,901.12
1064.2,990.13
1049.2,844.41
1389.5,586.83
660.09,927.9
534.84,949.96
1030.3,854.65
401.72,871.19
1345.4,634.09
159.9,628.58
1231.2,837.32
1027.9,946.81
1583.3,1462.7
986.19,938.93
20.48,1282.4
863.31,1044.5
104.76,960.98
1112.2,845.98
534.06,1140.6
1080.7,905.85
627,915.3
1047.6,920.81
977.53,850.71
1097.3,941.29
889.3,855.43
15.754,905.85
11.815,861.74
1476.1,482.86
17.329,1469.8
1295,635.67
1851.9,363.91
942.08,929.48
827.86,1100.4
329.26,1278.4
1432,569.5
784.54,955.47
911.36,1198.9
385.97,895.61
653.78,1038.2
939.72,898.76
1154,849.13
653.78,1776.2
923.96,907.42
632.52,853.86
345.01,938.93
825.5,738.86
685.29,934.2
1108.3,1013.8
807.38,1031.9
822.35,932.63
600.22,991.7
122.88,1124
925.54,856.22
679.78,857.8
31.508,1113
391.48,911.36
1276.8,1282.4
108.7,1058.7
693.96,868.82
1096.5,845.19
581.32,1333.6
1159.5,972.8
2019.6,249.7
979.1,1081.5
997.22,908.21
901.12,943.66
323.74,953.11
743.58,1109.1
