510.93,115.2
279.47,69.333
403.2,154.67
208,37.333
295.47,32
660.27,87.467
138.67,21.333
688,123.73
697.6,12.8
453.33,4.2667
205.87,96
177.07,56.533
3.2,9.6
705.07,99.2
539.73,108.8
91.733,141.87
283.73,100.27
105.6,51.2
604.8,81.067
133.33,74.667
153.6,33.067
518.4,13.867
600.53,30.933
606.93,57.6
23.467,22.4
664.53,105.6
424.53,32
53.333,116.27
695.47,70.4
178.13,19.2
657.07,9.6
322.13,81.067
723.2,70.4
679.47,54.4
695.47,116.27
11.733,164.27
633.6,55.467
257.07,71.467
552.53,91.733
595.2,69.333
630.4,129.07
726.4,91.733
489.6,90.667
597.33,112
145.07,114.13
444.8,56.533
565.33,29.867
185.6,110.93
14.933,10.667
558.93,13.867
261.33,20.267
640,91.733
518.4,102.4
254.93,122.67
738.13,106.67
477.87,68.267
468.27,108.8
104.53,107.73
228.27,91.733
620.8,30.933
579.2,69.333
9.6,25.6
533.33,65.067
570.67,48
219.73,128
253.87,90.667
434.13,5.3333
684.8,100.27
683.73,115.2
350.93,68.267
586.67,27.733
547.2,116.27
350.93,138.67
333.87,22.4
555.73,244.27
590.93,58.667
361.6,88.533
690.13,104.53
364.8,51.2
252.8,29.867
