1349,299
250,277
1695,524
478,209
727,261
803,287
1622,275
1869,277
1346,158
26,357
1012,201
1525,485
1134,274
477,388
1736,446
331,346
1707,258
1680,179
1538,259
1649,342
1426,184
1085,277
1213,318
1724,171
1800,219
1026,820
1621,185
446,158
1229,549
904,150
1633,412
83,262
695,139
550,287
1449,157
1073,174
752,168
1182,502
1046,601
714,349
1290,358
302,175
409,182
1492,319
1354,602
667,264
1217,350
653,141
310,653
394,319
934,277
1011,281
1580,820
1137,161
987,373
1137,203
1786,521
205,637
355,201
1253,260
513,188
309,282
846,752
275,368
273,186
735,456
1188,193
1805,324
456,792
785,209
1508,183
97,446
608,149
216,217
463,500
852,266
1802,407
205,289
809,179
1014,159
1175,163
1197,275
1735,645
1216,407
945,150
615,217
557,146
